@relation movie

@attribute RDMA real
@attribute WDMA real
@attribute WDA real
@attribute LengthVar real
@attribute Kurtosis real
@attribute HV real
@attribute SV real
@attribute MeanVar real
@attribute attack {1.0, 0.0}

@data
0.0134480977,0.0007178991,3.6578825798,0.0000173211,0.0339390748,0.6086875085,0.993632514,1.4463732925,0.0
0.0073611849,0.0004628009,0.4563934623,0.0000042572,0.0871311651,0.6464334682,0.9967132706,0.8802055682,0.0
0.0161581174,0.0006379667,0.872538337,0.0000050793,0.1676741505,0.9128014984,0.8753553688,1.0337791495,0.0
0.0132779114,0.0006861192,0.3186698729,0.0000081619,0.2265492404,1.0118340108,0.4918095264,1.3111111111,0.0
0.0174395651,0.001049394,3.0519239012,0.000007354,0.5517286254,0.7558993483,0.9558436624,1.3808664019,0.0
0.006567548,0.0001315644,1.3857526195,0.0000110531,0.0790245648,0.8035573286,1.0920185231,0.8853894461,0.0
0.0159914261,0.0015687129,6.4445447019,0.0000307818,0.0420933664,0.7856735801,0.8069367935,1.169972082,0.0
0.007053669,0.0002578851,0.4161664723,0.0000045655,0.4183521403,0.5297603266,0.9387513456,1.5565324544,0.0
0.0078502287,0.0001993145,0.1727050312,0.0000083674,0.1153394435,1.1454083661,0.8363393376,1.0895316804,0.0
0.0078165189,0.0011685671,1.4382394777,0.0000082787,0.0332493454,1.1088866501,0.8727020647,0.2165642722,0.0
0.0081550687,0.0002102256,1.4760674429,0.0000079705,0.0986851241,0.8591075886,0.9965324213,0.6284677137,0.0
0.0035857069,0.000033751,0.1828710527,0.0000053875,0.0227784284,1.2280929549,0.768509345,0.8220222991,0.0
0.0264559094,0.0026445287,16.825958406,0.0000547234,0.0288276308,0.7036567464,0.9841780224,1.5633899767,0.0
0.0076103906,0.0005643492,0.7458182824,0.0000005581,0.0738480265,1.1045163372,1.0392061188,1.2492503124,0.0
0.0142567355,0.000721153,1.4827004967,0.0000000584,0.157843013,0.834391496,0.8589688699,1.425951087,0.0
0.0067907021,0.0001332112,0.9506982975,0.0000037576,0.0416054363,0.7414586781,0.696414743,2.0762131519,0.0
0.0038604595,0.0000258406,0.1080928668,0.0000077509,0.2422695951,0.7247025567,0.7425459401,1.152069161,0.0
0.0095518232,0.0004709467,2.6458550234,0.0000178348,0.1505433159,0.9315564498,1.1173077487,0.5056780581,0.0
0.0036634264,0.0000240277,0.0732685274,0.0000085729,0.2668713556,1.2953779408,1.0151415792,0.4858333333,0.0
0.0053278342,0.0000368727,0.2557360404,0.0000056958,0.2920333993,1.139351393,0.8511844802,1.0932370581,0.0
0.0228159512,0.0023967324,4.0840552707,0.000007765,0.3342646518,0.7228475319,1.1761046619,1.2098095069,0.0
0.0142811117,0.0006317227,1.8279822977,0.0000025245,0.3705462329,0.5779578066,1.0258316142,2.029679968,0.0
0.0050505014,0.0000803448,0.7626257094,0.0000048879,0.0991886413,0.7869788485,1.0601659528,0.6993220444,0.0
0.0042711665,0.0000472584,0.2904393211,0.0000036407,0.0643549816,0.9243365495,0.7133560104,0.8877595156,0.0
0.004082496,0.0000542021,0.3184346886,0.0000026132,0.1659129867,1.438773269,1.3122991684,0.248287417,0.0
0.004023314,0.0000784835,0.4304945997,0.0000003667,0.0184932155,0.5085483714,0.6454584276,0.5898425012,0.0
0.0051098403,0.0000839339,0.1277460075,0.0000080591,0.1681411681,0.8349680208,0.949610802,0.5376,0.0
0.0050496718,0.0000753821,0.398924069,0.0000025104,0.4046848781,0.7267832761,0.9692624495,0.7110755617,0.0
0.0043407358,0.0000621231,0.1475850161,0.0000071343,0.1514073015,0.5805039678,0.9803447477,0.6147635525,0.0
0.0048348305,0.0000609581,0.2078977097,0.0000062095,0.2094721407,0.6363165896,0.8347448624,0.8024976646,0.0
0.0098912571,0.000196366,0.3560852546,0.0000069288,0.2372065471,0.9794703579,1.0405698338,0.7936111111,0.0
0.0035289231,0.0000314584,0.144685849,0.0000064151,0.0900579534,0.7581543361,0.9418663475,0.6416137011,0.0
0.0043616885,0.0000711659,0.104680524,0.0000081619,0.3520845943,1.0535992892,0.7112680034,0.2299969807,0.0
0.0187042388,0.0009884984,0.3740847765,0.0000085729,0.3012741033,0.9119413593,0.7522186957,3.0025,0.0
0.0091189061,0.0001783191,0.2279726515,0.0000080591,0.3442244602,1.1415764121,1.2080918419,0.75,0.0
0.0431408649,0.004012351,0.8628172978,0.0000085729,0.1450579243,1.4843598264,0.8788795622,1.64,0.0
0.0048453442,0.0001578454,0.2761846175,0.000004771,0.5348728557,0.783072522,0.9514166296,0.7588890227,0.0
0.0292383659,0.0017403077,3.5378422753,0.0000018052,0.4852884069,1.0074884944,0.9336698829,3.6389502336,0.0
0.0108400504,0.0002724664,0.2384811098,0.0000083674,0.1481541401,1.5758101973,0.9708652316,0.6078026252,0.0
0.0102474385,0.0003067886,0.3586603485,0.0000070316,0.1659238135,1.0817768778,0.7578347066,0.9012244898,0.0
0.0032919823,0.0000224027,0.1711830814,0.0000052848,0.1062826422,1.105261935,1.2759737964,0.4798278644,0.0
0.008649379,0.0002182176,1.5828363539,0.000008176,0.1268614921,0.8371409825,0.9643823038,0.9520446183,0.0
0.0068128963,0.000169211,1.5056500731,0.0000120806,0.1054268047,0.7570507949,0.9634659118,0.8580617095,0.0
0.0048723636,0.0000574927,0.7357269007,0.0000048879,0.1461999016,0.8005187327,1.020796236,0.8235407219,0.0
0.0068670809,0.0001504754,0.3296198822,0.0000056958,0.2623985646,0.7460736554,0.9232831361,0.5973090278,0.0
0.0073854159,0.0003058159,0.1994062281,0.0000078536,0.1121674444,0.8794503024,0.8029375731,0.8734567901,0.0
0.0050711974,0.0000775916,0.1267799344,0.0000080591,0.2709326281,0.7098694641,0.9441238851,0.588647619,0.0
0.0073991436,0.0002409028,0.4883434752,0.0000038462,0.0539922409,0.8601026737,1.1187641281,0.9173358342,0.0
0.0155245332,0.0010545366,3.3377746357,0.0000114641,0.4419976019,0.8090157061,0.7499532811,1.1319158094,0.0
0.0129410792,0.0002954523,0.3105858997,0.0000081619,0.3308460093,1.1170225498,1.0001375882,1.6840277778,0.0
0.0049186984,0.0000302787,0.1131300624,0.0000082646,0.3180398015,1.0850469228,1.0389137024,1.1353274769,0.0
0.0034521378,0.000054981,0.1933197158,0.0000048737,0.0924630724,0.7641517318,0.5445856118,0.5046478819,0.0
