@relation movie

@attribute RDMA real
@attribute WDMA real
@attribute WDA real
@attribute LengthVar real
@attribute Kurtosis real
@attribute HV real
@attribute SV real
@attribute MeanVar real
@attribute attack {1.0, 0.0}

@data
0.0129720629,0.0005552742,3.5284011177,0.0000092774,0.0377067272,0.6449055714,0.9637725633,1.4463732925,0.0
0.0057463573,0.0001694222,0.3562741528,0.0000031033,0.0963596531,0.624800553,0.9316645046,0.8802055682,0.0
0.0133929813,0.000346334,0.7232209899,0.0000035749,0.1611522384,0.9733418399,1.0165782039,1.0337791495,0.0
0.0172485943,0.0007720026,0.4139662625,0.0000053436,0.212799574,1.3122763907,0.48940607,1.3111111111,0.0
0.015449469,0.0005757127,2.703657072,0.0000035587,0.5374348077,0.8184939561,1.0757974317,1.3808664019,0.0
0.0065757368,0.0001280958,1.3874804672,0.0000056811,0.0879575775,0.7786243605,1.045544827,0.8853894461,0.0
0.0151635211,0.0007620944,6.110898986,0.0000170006,0.0379497873,0.8637511785,0.7243642344,1.169972082,0.0
0.0052191572,0.0000821833,0.3079302734,0.0000032802,0.4023161667,0.5106336694,0.8853100431,1.5565324544,0.0
0.0090597564,0.0002241833,0.1993146404,0.0000054615,0.1135901292,1.2055823341,0.7217312099,1.0895316804,0.0
0.0069933972,0.0003571051,1.2867850851,0.0000040893,0.0359051278,1.0755827932,0.5756154546,0.2165642722,0.0
0.00876047,0.0002046257,1.5856450691,0.0000039124,0.10943171,0.9515299328,1.00863791,0.6284677137,0.0
0.0035960361,0.0000398642,0.1833978413,0.0000037518,0.0252784549,1.1617666393,0.6499042219,0.8220222991,0.0
0.0227323868,0.001280186,14.4577979984,0.0000307373,0.0320818176,0.7973761398,1.1031275964,1.5633899767,0.0
0.0064083094,0.0001858848,0.6280143203,0.0000009809,0.0762147622,1.0893606073,0.9321265377,1.2492503124,0.0
0.0138472112,0.0004584471,1.4401099664,0.0000006271,0.1651462978,0.9168402171,0.9589237626,1.425951087,0.0
0.0061226197,0.0001051916,0.8571667621,0.0000014953,0.0371515629,0.6910338622,0.5892377109,2.0762131519,0.0
0.0039399267,0.0000264208,0.1103179467,0.0000051078,0.2541893407,0.7342584018,0.7783265999,1.152069161,0.0
0.0081310537,0.0002559045,2.2523018666,0.0000095722,0.1628465284,0.8861051938,0.9222402038,0.5056780581,0.0
0.0037152844,0.0000243101,0.0743056873,0.0000055794,0.2785067973,1.2813926303,1.0063208666,0.4858333333,0.0
0.0051902733,0.0000346888,0.2491331196,0.0000039287,0.2802573066,1.1452283578,0.875791483,1.0932370581,0.0
0.0207523503,0.0010486111,3.7146707002,0.0000037945,0.3287098672,0.8646555991,1.4844986805,1.2098095069,0.0
0.0118588583,0.0003714946,1.5179338567,0.0000007878,0.3579725385,0.5809109239,1.0541301525,2.029679968,0.0
0.005123961,0.000074551,0.7737181153,0.0000021438,0.0983707151,0.7847146102,1.0163641244,0.6993220444,0.0
0.004091297,0.0000427009,0.2782081939,0.0000027496,0.0732984047,0.8745683424,0.5976069881,0.8877595156,0.0
0.0034529673,0.0000359976,0.2693314481,0.00000216,0.1599037992,1.2733431889,1.0270327972,0.248287417,0.0
0.0042202549,0.0000813316,0.4515672785,0.0000004503,0.0201250558,0.5530909308,0.7951173117,0.5898425012,0.0
0.0051195255,0.0000747664,0.1279881373,0.0000052847,0.164131301,0.8961002242,1.023645165,0.5376,0.0
0.0055004885,0.0000897059,0.4345385906,0.000002101,0.3868871008,0.7425395522,0.9156734193,0.7110755617,0.0
0.0044737471,0.0000655112,0.1521074014,0.0000047541,0.1533517761,0.6082962095,0.9251535285,0.6147635525,0.0
0.0052380342,0.000064368,0.2252354702,0.0000042235,0.2029651766,0.6869655264,0.8011284735,0.8024976646,0.0
0.0089737597,0.0001558596,0.323055348,0.0000046361,0.231376431,0.9491795892,0.8955143438,0.7936111111,0.0
0.003572758,0.000033465,0.1464830794,0.0000043414,0.0871723764,0.7593452091,0.9765468553,0.6416137011,0.0
0.0043588481,0.0000675355,0.1046123541,0.0000053436,0.3391358479,1.2086230276,0.6799865793,0.2299969807,0.0
0.0215513397,0.0008246576,0.4310267939,0.0000055794,0.3087510465,1.1316239464,0.7327406627,3.0025,0.0
0.0092227802,0.0001657346,0.2305695042,0.0000052847,0.334233726,1.2718909515,1.3197022908,0.75,0.0
0.0430929681,0.002845462,0.8618593612,0.0000055794,0.1466347003,1.8652949079,0.8701440305,1.64,0.0
0.0069708119,0.0003259875,0.3973362809,0.0000033981,0.5172728178,0.8326790432,0.9225311815,0.7588890227,0.0
0.0250591567,0.0010029189,3.0321579601,0.0000003751,0.4762192377,1.064235554,0.9171679269,3.6389502336,0.0
0.0097741098,0.000216492,0.2150304146,0.0000054615,0.1502859669,1.5690241589,0.9329309503,0.6078026252,0.0
0.009449691,0.0002064356,0.3307391847,0.0000046951,0.1755584932,1.1645676399,0.8555467719,0.9012244898,0.0
0.0031909434,0.0000220577,0.1659290593,0.0000036928,0.1049251167,1.0382607738,1.1985329774,0.4798278644,0.0
0.0078973182,0.0001730561,1.445209233,0.0000040304,0.1219695062,0.8189330044,0.9160182486,0.9520446183,0.0
0.0059359768,0.0000917466,1.3118508807,0.0000062707,0.1069633549,0.7427878138,0.9113480014,0.8580617095,0.0
0.004771463,0.0000584083,0.7204909189,0.0000021438,0.1341271449,0.7833349751,0.9889986941,0.8235407219,0.0
0.0065876634,0.000134014,0.3162078425,0.0000039287,0.2568306379,0.7958324413,0.9031962535,0.5973090278,0.0
0.0111450984,0.000491679,0.3009176566,0.0000051667,0.1119465975,1.054565589,0.7193474825,0.8734567901,0.0
0.0045399211,0.0000559758,0.1134980268,0.0000052847,0.2810131658,0.7309373857,0.9096668515,0.588647619,0.0
0.0077556695,0.0003421928,0.5118741891,0.0000028675,0.0499784319,0.8129553359,1.027378147,0.9173358342,0.0
0.0161976485,0.0007084166,3.4824944262,0.0000059169,0.4502595157,0.9430184503,0.9078964201,1.1319158094,0.0
0.0142140119,0.0002966511,0.3411362863,0.0000053436,0.3414615777,1.2434318014,0.9951914532,1.6840277778,0.0
0.0044991305,0.0000263962,0.1034800016,0.0000054026,0.3072292666,1.0073764392,1.0340030758,1.1353274769,0.0
0.0043181554,0.0000918608,0.2418167017,0.000003457,0.0996775688,0.7907033251,0.4540437403,0.5046478819,0.0
0.0076193269,0.0003261596,0.2133411542,0.0000051078,0.2405055024,0.9475287646,0.9139336247,0.6260435993,0.0
0.0069553921,0.0001318556,0.4521004865,0.0000029264,0.12289849,0.8271643923,0.9042415957,1.1411489152,0.0
0.0047623552,0.0000422401,0.1000094588,0.0000055205,0.4780319412,0.6551090642,0.9613291246,1.7768707483,0.0
0.0059096831,0.0000993017,1.1051107466,0.0000042662,0.2439898465,0.8059427546,0.9050328667,0.6782131573,0.0
