@relation movie

@attribute RDMA real
@attribute WDMA real
@attribute WDA real
@attribute LengthVar real
@attribute Kurtosis real
@attribute HV real
@attribute SV real
@attribute MeanVar real
@attribute attack {1.0, 0.0}

@data
0.0117462287,0.000381271,3.1949742053,0.0000107573,0.0540028189,0.7149345616,0.9435627556,1.4463732925,0.0
0.0059626331,0.000116021,0.3696832537,0.0000042029,0.1202692296,0.6737544043,0.8694905898,0.8802055682,0.0
0.012549565,0.0002526752,0.6776765078,0.0000047728,0.1559327152,1.0959930778,1.1575508679,1.0337791495,0.0
0.0162780827,0.0004896908,0.3906739838,0.00000691,0.1975118035,1.7055040826,0.503602766,1.3111111111,0.0
0.0136225876,0.0003500933,2.3839528273,0.0000038471,0.5088579363,0.8837057001,1.1912049422,1.3808664019,0.0
0.0065125225,0.0001076353,1.3741422422,0.0000064117,0.1070222931,0.8045943043,1.0013474957,0.8853894461,0.0
0.0131937211,0.0004022683,5.3170695964,0.0000200896,0.0357722101,0.9559862107,0.6799782932,1.169972082,0.0
0.0045441379,0.0000503502,0.268104138,0.0000044166,0.3911714201,0.5061549026,0.830965147,1.5565324544,0.0
0.0087961986,0.0002129825,0.1935163685,0.0000070524,0.1207534258,1.2012129989,0.6444671218,1.0895316804,0.0
0.0062057519,0.0001935034,1.1418583484,0.0000044883,0.0447554198,1.1125227644,0.4397023543,0.2165642722,0.0
0.008698199,0.0001594435,1.5743740235,0.0000042745,0.1355510029,1.0944812077,1.0181225982,0.6284677137,0.0
0.0036369961,0.0000371265,0.1854868025,0.0000049865,0.0417893652,1.1422508081,0.5551724374,0.8220222991,0.0
0.0190287528,0.0006160493,12.1022868107,0.0000366882,0.0436157066,0.9091995714,1.1858639166,1.5633899767,0.0
0.0064539889,0.0001323599,0.6324909149,0.0000016383,0.0826799695,1.1205587493,0.8408448508,1.2492503124,0.0
0.0126631872,0.0003438617,1.3169714677,0.0000012108,0.1857298668,0.9893932656,1.050623661,1.425951087,0.0
0.0055198733,0.000077861,0.7727822633,0.0000013538,0.0343355443,0.6718309246,0.5091229442,2.0762131519,0.0
0.0036876308,0.0000218938,0.1032536638,0.000006625,0.2776659529,0.7062261831,0.8339435278,1.152069161,0.0
0.0078526544,0.0001755277,2.1751852608,0.0000111135,0.1871220969,0.9479361373,0.7984518673,0.5056780581,0.0
0.0036292974,0.0000227044,0.072585948,0.0000071949,0.3023551487,1.2887234033,0.9966040961,0.4858333333,0.0
0.0050112659,0.0000317459,0.2405407637,0.0000052002,0.2716778385,1.1455028238,0.9101785701,1.0932370581,0.0
0.0189245798,0.0006725556,3.3874997837,0.0000041321,0.3169865273,1.0058160331,1.7262494969,1.2098095069,0.0
0.009830839,0.0001932353,1.2583473881,0.0000004989,0.3473852359,0.6134985765,1.0804956541,2.029679968,0.0
0.0051702507,0.0000673263,0.7807078496,0.0000021374,0.0986921238,0.8181058655,0.973925442,0.6993220444,0.0
0.0041128735,0.0000407179,0.2796753963,0.0000037754,0.0962197269,0.8812527584,0.5222038469,0.8877595156,0.0
0.003527969,0.0000413815,0.2751815833,0.0000030631,0.1533774809,1.1817728398,0.790912107,0.248287417,0.0
0.0041282855,0.0000610907,0.4417265538,0.0000009971,0.0347704208,0.6280368078,1.0023733647,0.5898425012,0.0
0.0057612594,0.0000811073,0.1440314856,0.0000068387,0.1751861799,0.9856348116,1.1097800134,0.5376,0.0
0.0057259015,0.000083547,0.4523462166,0.0000029918,0.3661258931,0.8019352983,0.868107553,0.7110755617,0.0
0.0046755474,0.0000656812,0.1589686103,0.0000061976,0.1668612243,0.6557520971,0.8770657212,0.6147635525,0.0
0.0054375338,0.0000601399,0.2338139548,0.0000055564,0.1982942494,0.7614138292,0.7734773934,0.8024976646,0.0
0.0085280151,0.000134397,0.3070085444,0.0000060551,0.2147918687,0.9971823701,0.7793846666,0.7936111111,0.0
0.0036491569,0.0000318937,0.1496154345,0.0000056989,0.094670203,0.8176923029,1.0249193113,0.6416137011,0.0
0.0045597875,0.0000648781,0.1094349011,0.00000691,0.3323794322,1.5032678451,0.6761738348,0.2299969807,0.0
0.0207234847,0.0005804821,0.4144696949,0.0000071949,0.3271581221,1.3332711761,0.7248292722,3.0025,0.0
0.0093670676,0.0001484871,0.2341766889,0.0000068387,0.3302960507,1.4396634586,1.4480606726,0.75,0.0
0.0327973699,0.001163837,0.6559473976,0.0000071949,0.1546698358,2.125054844,0.8630731202,1.64,0.0
0.0069233538,0.0002819875,0.3946311677,0.0000045591,0.5026355285,0.869709332,0.903254403,0.7588890227,0.0
0.0215618322,0.0006085175,2.6089816946,0.0000000002,0.4469146701,1.1245545997,0.9056277002,3.6389502336,0.0
0.0082732284,0.0001463164,0.1820110238,0.0000070524,0.161418968,1.6414532666,0.8991027845,0.6078026252,0.0
0.0094130608,0.0001813294,0.3294571297,0.0000061263,0.2019723355,1.3174720926,0.9729728823,0.9012244898,0.0
0.0031105528,0.0000217337,0.1617487476,0.0000049153,0.1110648168,0.9972273646,1.1067482753,0.4798278644,0.0
0.0071946577,0.0001136864,1.3166223603,0.000004417,0.1162125007,0.8511437884,0.8746171584,0.9520446183,0.0
0.0057311628,0.0000746118,1.2665869755,0.0000071241,0.1117038139,0.7673354597,0.8683127596,0.8580617095,0.0
0.0046153403,0.0000521403,0.6969163875,0.0000021374,0.1182378664,0.7918848592,0.9567883099,0.8235407219,0.0
0.0060710318,0.0000919676,0.291409528,0.0000052002,0.2432536832,0.8746441036,0.8894400978,0.5973090278,0.0
0.0114428971,0.0003955926,0.3089582225,0.0000066962,0.1240264361,1.2676157689,0.6854266743,0.8734567901,0.0
0.0042502434,0.0000389592,0.1062560857,0.0000068387,0.2991170865,0.8597476294,0.8793002419,0.588647619,0.0
0.0070128117,0.0001704297,0.4628455716,0.0000039179,0.0481289216,0.8333034712,0.9429998411,0.9173358342,0.0
0.0150735854,0.0004561659,3.240820858,0.0000066967,0.4459163844,1.0880444019,1.0604994094,1.1319158094,0.0
0.0144593802,0.0002669389,0.3470251249,0.00000691,0.3585734081,1.3560409026,0.9915204397,1.6840277778,0.0
0.0042403332,0.0000239064,0.0975276646,0.0000069812,0.2990554665,0.95419685,1.0284381232,1.1353274769,0.0
0.0047133539,0.0000802268,0.2639478189,0.0000046303,0.1193646208,0.8912508476,0.4082900286,0.5046478819,0.0
0.0072216257,0.0002918841,0.2022055205,0.000006625,0.2360305996,0.9363852428,0.8684847125,0.6260435993,0.0
0.0063578213,0.000093159,0.4132583832,0.0000039892,0.118602071,0.8595770203,0.8817332255,1.1411489152,0.0
0.0044237264,0.0000354971,0.0928982538,0.0000071237,0.4565608752,0.6431283032,0.9792308468,1.7768707483,0.0
0.00593052,0.0000860122,1.1090072311,0.000004702,0.2283303837,0.8656689446,0.8793069516,0.6782131573,0.0
0.0068915073,0.0001934754,0.7304997769,0.0000010684,0.1629093947,0.7826015909,1.0,0.761627907,0.0
0.0112790495,0.0002957141,1.7369736202,0.0000023511,0.0877207384,0.8385388638,0.888384303,1.6102279755,0.0
0.0089063863,0.0001656633,3.4022395781,0.0000185936,0.0297256169,0.8805054943,0.7414163771,1.117946284,0.0
0.0094266413,0.0004451928,1.960741385,0.000006198,0.0281421733,1.3174495441,0.5649014772,0.2613592488,0.0
0.0088291258,0.0001986203,0.1854116409,0.0000071237,0.2384715326,1.0642872155,1.0689758931,1.0207860922,0.0
0.0079612218,0.0001822911,1.8470034487,0.0000079077,0.0476053687,0.7638022773,1.0310539961,1.001178444,0.0
0.0070361245,0.0001240002,0.6543595763,0.0000019945,0.1536749672,0.8808993728,1.0553177991,0.7548002592,0.0
0.0057938867,0.0000937103,1.1587773331,0.0000056281,0.0513301027,0.7604087952,0.9834306638,0.8076096154,0.0
0.0038347682,0.0000339847,0.3067814563,0.0000029206,0.1447499186,1.0202356621,0.863970069,0.660685911,0.0
0.0042562942,0.0000380083,0.1617391798,0.0000059126,0.1126241799,0.8527887967,1.0058473842,0.843196508,0.0
0.0091222375,0.0001788955,0.2736671263,0.0000064825,0.3232193476,1.3008182112,0.7350373116,0.5933333333,0.0
0.0054393571,0.0000381888,0.184938142,0.0000061976,0.2387652833,0.7007079292,0.9427455183,2.0008650519,0.0
0.0099170835,0.000350723,0.644610425,0.0000039892,0.0493588829,0.9768739641,0.8789396354,0.9961961116,0.0
0.0047036522,0.0001323358,0.6161784355,0.0000007126,0.3108199804,0.5985167494,1.0277713763,0.52109988,0.0
