@relation movie

@attribute RDMA real
@attribute WDMA real
@attribute WDA real
@attribute LengthVar real
@attribute Kurtosis real
@attribute HV real
@attribute SV real
@attribute MeanVar real
@attribute attack {1.0, 0.0}

@data
0.0149671965,0.0010790828,4.071077442,0.0000172631,0.0,0.6092909603,0.9925817756,1.4463732925,0.0
0.006376792,0.0002423239,0.3953611032,0.0000044775,0.0,0.6443404972,0.9953619072,0.8802055682,0.0
0.0172867644,0.0008024098,0.9334852753,0.0000053058,0.0,0.9143272371,0.8759337076,1.0337791495,0.0
0.0264084456,0.0017519543,0.6338026938,0.0000084116,0.0,1.0180620062,0.4913764432,1.3111111111,0.0
0.0173738461,0.0008432128,3.0404230735,0.000007221,0.0,0.7530490356,0.9587448554,1.3808664019,0.0
0.00673491,0.0001575526,1.4210660109,0.000010948,0.0,0.8017317255,1.0908646126,0.8853894461,0.0
0.0196325478,0.0020768645,7.9119167503,0.0000308251,0.0,0.7853980433,0.8049560046,1.169972082,0.0
0.0066882273,0.0002109198,0.3946054108,0.0000047881,0.0,0.529462649,0.9378177088,1.5565324544,0.0
0.0118583431,0.0004119425,0.2608835477,0.0000086186,0.0,1.1479904482,0.8320106758,1.0895316804,0.0
0.0075558626,0.0003918833,1.3902787268,0.0000081527,0.0,1.1090910869,0.8671011849,0.2165642722,0.0
0.0082382168,0.0002212007,1.491117243,0.0000078422,0.0,0.8562131585,0.9965934588,0.6284677137,0.0
0.0051573281,0.0000717326,0.2630237308,0.0000056163,0.0,1.2302453418,0.7673615059,0.8220222991,0.0
0.0282866711,0.0035299383,17.9903228353,0.0000549469,0.0,0.7048864266,0.987068012,1.5633899767,0.0
0.0095818357,0.0008138529,0.9390198959,0.0000007506,0.0,1.1040055274,1.037937884,1.2492503124,0.0
0.0144269551,0.0006607573,1.500403326,0.0000001294,0.0,0.8326134924,0.8593282691,1.425951087,0.0
0.0081146331,0.0001391619,1.1360486385,0.0000035976,0.0,0.7424616175,0.6948142604,2.0762131519,0.0
0.0043460659,0.0000301693,0.1216898461,0.0000079975,0.0,0.7223971625,0.7430948074,1.152069161,0.0
0.0103741282,0.0012702063,2.8736335228,0.0000177807,0.0,0.9270591689,1.1129136973,0.5056780581,0.0
0.0037519743,0.0000251433,0.0750394861,0.0000088257,0.0,1.2968894164,1.014973992,0.4858333333,0.0
0.0056216739,0.0000398234,0.2698403488,0.0000059269,0.0,1.1401339598,0.8512594825,1.0932370581,0.0
0.0244672481,0.0021852805,4.3796374178,0.0000076351,0.0,0.7291874793,1.1834463587,1.2098095069,0.0
0.0156354089,0.0008281639,2.0013323429,0.0000023552,0.0,0.5777118742,1.0263635639,2.029679968,0.0
0.0050151343,0.0000726966,0.7572852778,0.0000047364,0.0,0.7872564637,1.0594774605,0.6993220444,0.0
0.0057030353,0.0000673148,0.3878063991,0.0000038564,0.0,0.9235043033,0.7116577652,0.8877595156,0.0
0.0036373261,0.0000515087,0.2837114394,0.0000028211,0.0,1.4287724418,1.3040436681,0.248287417,0.0
0.0050969968,0.0000762247,0.5453786608,0.0000001812,0.0,0.5105944275,0.6473094141,0.5898425012,0.0
0.0059637361,0.0001068927,0.149093402,0.000008308,0.0,0.8421594628,0.9502170816,0.5376,0.0
0.0059380082,0.0001107404,0.4691026455,0.0000027176,0.0,0.7267282859,0.9684234311,0.7110755617,0.0
0.0044294538,0.0000681071,0.1506014287,0.0000073763,0.0,0.5817825847,0.9803323837,0.6147635525,0.0
0.0061427751,0.0000848863,0.2641393292,0.0000064445,0.0,0.639188148,0.8351233516,0.8024976646,0.0
0.0096209142,0.0001838261,0.3463529128,0.0000071692,0.0,0.9795174223,1.0409194765,0.7936111111,0.0
0.0035770984,0.0000303413,0.1466610358,0.0000066516,0.0,0.758224941,0.9424816885,0.6416137011,0.0
0.0047351529,0.0000795775,0.1136436702,0.0000084116,0.0,1.0501990761,0.7103741865,0.2299969807,0.0
0.0283066203,0.0014583018,0.5661324064,0.0000088257,0.0,0.9145390226,0.7512008379,3.0025,0.0
0.0079808111,0.00014694,0.1995202782,0.000008308,0.0,1.144060168,1.2096332165,0.75,0.0
0.0634081292,0.0094759247,1.268162584,0.0000088257,0.0,1.5097733869,0.8789752503,1.64,0.0
0.0067229331,0.0007040659,0.3832071845,0.0000049952,0.0,0.7797244805,0.9494033636,0.7588890227,0.0
0.0332846925,0.0025451982,4.0274477947,0.0000016305,0.0,1.0108198791,0.9325673246,3.6389502336,0.0
0.010986108,0.0002888958,0.2416943765,0.0000086186,0.0,1.5699696641,0.9701890671,0.6078026252,0.0
0.0099084736,0.0003142813,0.346796575,0.0000072728,0.0,1.077703097,0.758983604,0.9012244898,0.0
0.0031465276,0.0000247922,0.1636194344,0.0000055128,0.0,1.1053277413,1.273522104,0.4798278644,0.0
