@relation movie

@attribute RDMA real
@attribute WDMA real
@attribute WDA real
@attribute LengthVar real
@attribute Kurtosis real
@attribute HV real
@attribute SV real
@attribute MeanVar real
@attribute attack {1.0, 0.0}

@data
0.0149775163,0.0010779077,4.0738844423,0.0000172161,0.0,0.6101604533,0.9916949823,1.4463732925,0.0
0.0063932312,0.000242417,0.3963803358,0.0000043524,0.0,0.6471975928,0.9952062243,0.8802055682,0.0
0.0173504675,0.0008050816,0.9369252429,0.0000051741,0.0,0.9191756392,0.8790391305,1.0337791495,0.0
0.0263928397,0.0017513713,0.6334281531,0.0000082553,0.0,1.0208182287,0.4914377005,1.3111111111,0.0
0.01726549,0.0008225786,3.0214607425,0.0000072535,0.0,0.7560065745,0.9615710555,1.3808664019,0.0
0.0067951794,0.0001600648,1.4337828536,0.000010951,0.0,0.8033660616,1.0897574813,0.8853894461,0.0
0.0197308036,0.0018448139,7.9515138475,0.0000306708,0.0,0.7916084677,0.8014931222,1.169972082,0.0
0.0066902804,0.0002110071,0.3947265458,0.0000046605,0.0,0.5298764237,0.936883763,1.5565324544,0.0
0.0118224918,0.0004109697,0.2600948195,0.0000084607,0.0,1.1441916333,0.8255061346,1.0895316804,0.0
0.0075770746,0.0003920532,1.3941817265,0.0000081779,0.0,1.1042819854,0.8559724754,0.2165642722,0.0
0.0083402212,0.0002254858,1.5095800396,0.0000078698,0.0,0.8598284688,0.9969737027,0.6284677137,0.0
0.0051608224,0.0000717353,0.2632019447,0.0000054822,0.0,1.229103912,0.764689234,0.8220222991,0.0
0.0293742166,0.0040495974,18.6820017533,0.0000546016,0.0,0.7088394917,0.9914891209,1.5633899767,0.0
0.0096063687,0.0008140104,0.9414241328,0.0000006549,0.0,1.1040729252,1.033603254,1.2492503124,0.0
0.0145402886,0.0006798866,1.5121900115,0.0000000387,0.0,0.8339972107,0.8595174274,1.425951087,0.0
0.0080854033,0.000138673,1.1319564648,0.0000036588,0.0,0.7405901055,0.694094214,2.0762131519,0.0
0.0043445161,0.0000301641,0.1216464505,0.0000078444,0.0,0.7225887778,0.7431800199,1.152069161,0.0
0.0102731477,0.0012575228,2.8456619241,0.0000177297,0.0,0.9253456845,1.1087460479,0.5056780581,0.0
0.0037234012,0.0000247831,0.0744680245,0.0000086661,0.0,1.2899519924,1.0145737197,0.4858333333,0.0
0.0056218688,0.000039845,0.2698497043,0.0000057903,0.0,1.1399840415,0.8518263008,1.0932370581,0.0
0.0243447891,0.0022598671,4.3577172401,0.0000076644,0.0,0.7312362411,1.1936942502,1.2098095069,0.0
0.0155334819,0.0008173485,1.9882856879,0.0000024263,0.0,0.5769466353,1.0270730193,2.029679968,0.0
0.0050311823,0.0000736557,0.7597085211,0.0000047886,0.0,0.7846740246,1.0582850706,0.6993220444,0.0
0.0057274981,0.000067836,0.3894698699,0.0000037362,0.0,0.9235341883,0.7100607098,0.8877595156,0.0
0.0036019326,0.0000496902,0.2809507424,0.0000027091,0.0,1.4363513079,1.3032828275,0.248287417,0.0
0.0050937848,0.0000762437,0.5450349699,0.0000002694,0.0,0.5107237019,0.6491814822,0.5898425012,0.0
0.0059237575,0.0001066129,0.1480939363,0.0000081526,0.0,0.8411376332,0.9518761008,0.5376,0.0
0.0059265257,0.0001106132,0.4681955337,0.0000026064,0.0,0.7245592393,0.9672532956,0.7110755617,0.0
0.0044341091,0.0000681637,0.1507597087,0.0000072282,0.0,0.5804841432,0.9799513762,0.6147635525,0.0
0.0061625586,0.0000852134,0.2649900201,0.0000063038,0.0,0.6409245975,0.8334981209,0.8024976646,0.0
0.0095282476,0.0001806368,0.343016913,0.0000070228,0.0,0.9711788936,1.0352696241,0.7936111111,0.0
0.0036092249,0.0000308919,0.1479782214,0.0000065092,0.0,0.7615572483,0.9439232783,0.6416137011,0.0
0.004756989,0.0000800802,0.1141677371,0.0000082553,0.0,1.0598385877,0.7106306253,0.2299969807,0.0
0.0284861459,0.0014894987,0.569722919,0.0000086661,0.0,0.9181094096,0.7502517777,3.0025,0.0
0.0079555366,0.0001463773,0.1988884157,0.0000081526,0.0,1.1440649835,1.2175524203,0.75,0.0
0.0635158237,0.0094457484,1.2703164738,0.0000086661,0.0,1.5182187485,0.8774150214,1.64,0.0
0.0067136425,0.0007036707,0.3826776245,0.0000048659,0.0,0.7797509632,0.9492758497,0.7588890227,0.0
0.0341341526,0.0028009097,4.1302324617,0.0000017073,0.0,1.0123353118,0.9327103599,3.6389502336,0.0
0.0110035615,0.0002894588,0.2420783527,0.0000084607,0.0,1.5714301371,0.9703208163,0.6078026252,0.0
0.0099081058,0.0003141959,0.3467837033,0.0000071255,0.0,1.084940898,0.7632239904,0.9012244898,0.0
0.0031530495,0.0000248815,0.1639585734,0.0000053795,0.0,1.1034095584,1.2728229563,0.4798278644,0.0
0.0094244963,0.0003031299,1.7246828153,0.0000080752,0.0,0.8397932267,0.9632348519,0.9520446183,0.0
0.0069902182,0.0001617559,1.5448382169,0.0000119781,0.0,0.7545251653,0.9624381086,0.8580617095,0.0
0.0050427392,0.0000674031,0.7614536245,0.0000047886,0.0,0.8012727814,1.019564407,0.8235407219,0.0
0.0074126537,0.0001816672,0.3558073756,0.0000057903,0.0,0.7491855655,0.9223276419,0.5973090278,0.0
0.0148254779,0.0008455347,0.400287902,0.0000079472,0.0,0.9140822881,0.7883868421,0.8734567901,0.0
0.00507287,0.0000705567,0.1268217495,0.0000081526,0.0,0.7147327165,0.9430133078,0.588647619,0.0
0.0071505423,0.0003457207,0.4719357928,0.0000039416,0.0,0.8551639371,1.1185122761,0.9173358342,0.0
0.016333767,0.0009241301,3.511759909,0.0000113618,0.0,0.8159353666,0.7563650947,1.1319158094,0.0
0.0137020944,0.0003257438,0.3288502664,0.0000082553,0.0,1.1239811334,0.9998027765,1.6840277778,0.0
0.004758822,0.0000291255,0.1094529052,0.000008358,0.0,1.0839505557,1.0387276762,1.1353274769,0.0
0.0073058101,0.0002290131,0.4091253654,0.0000049686,0.0,0.7598952797,0.5387937747,0.5046478819,0.0
0.0109224596,0.0008351452,0.3058288693,0.0000078444,0.0,0.9233100074,0.958954669,0.6260435993,0.0
0.0081966806,0.0002005379,0.5327842394,0.0000040443,0.0,0.856442743,0.9306600472,1.1411489152,0.0
0.0055945177,0.0000614578,0.1174848707,0.0000085634,0.0,0.6581024055,0.9479409559,1.7768707483,0.0
0.0064317656,0.0001269595,1.2027401718,0.000008486,0.0,0.7782362605,0.9351933369,0.6782131573,0.0
0.0072149661,0.000476881,0.7647864044,0.0000001667,0.0,0.6938987786,1.0,0.761627907,0.0
0.01804356,0.0017536696,2.7787082393,0.0000050967,0.0,0.8040100713,1.0413307095,1.6102279755,0.0
0.0112478168,0.0004051879,4.2966660028,0.0000285139,0.0,0.8141852685,0.9015526781,1.117946284,0.0
0.0097181445,0.0007828786,2.0213740502,0.0000106429,0.0,1.0720225852,0.988524634,0.2613592488,0.0
0.0101068866,0.0004715003,0.2122446193,0.0000085634,0.0,0.9007872768,0.9310606791,1.0207860922,0.0
0.0085621645,0.0002117889,1.9864221741,0.0000131078,0.0,0.7109673064,0.9296368441,1.001178444,0.0
0.0106183781,0.0007829559,0.9875091659,0.0000011685,0.0,0.7581577534,0.8411029012,0.7548002592,0.0
0.0066497411,0.0001859893,1.3299482296,0.0000098212,0.0,0.7527071298,1.0310760569,0.8076096154,0.0
0.0041814974,0.0000428288,0.3345197959,0.0000025037,0.0,1.0311679594,1.0575398479,0.660685911,0.0
0.0044327169,0.0000465386,0.1684432424,0.0000068174,0.0,0.815286397,0.9977093944,0.843196508,0.0
0.0113617157,0.000302,0.3408514725,0.000007639,0.0,0.9785048685,0.7367019269,0.5933333333,0.0
0.0069760832,0.0000668918,0.2371868277,0.0000072282,0.0,0.7056256345,0.8844622131,2.0008650519,0.0
0.0147864913,0.0021299124,0.9611219371,0.0000040443,0.0,0.8156092956,0.9929404406,0.9961961116,0.0
0.0061726652,0.0009169578,0.8086191454,0.0000027344,0.0,0.5275174236,0.9925730782,0.52109988,0.0
0.0045302908,0.0000487685,0.1721510495,0.0000068174,0.0,1.1148913631,1.1458501663,0.8961731815,0.0
0.0059950894,0.0001387293,0.8213272494,0.0000033507,0.0,0.9844852358,1.051936202,1.0066051163,0.0
0.0055060877,0.0000822562,0.3634017877,0.0000039416,0.0,0.7462381162,1.1085490533,1.1890046712,0.0
0.0045506225,0.0000963157,0.1774742769,0.0000067147,0.0,0.8713587997,1.0271684223,0.3310603926,0.0
0.0119983486,0.0003909592,0.9478695379,0.0000026064,0.0,0.8238669889,1.0317589114,1.5079314212,0.0
0.0168337053,0.0024076528,1.3803638342,0.0000022982,0.0,0.7168570446,1.0194906089,0.9624345384,0.0
0.0056423834,0.0000534693,0.4062516076,0.0000033253,0.0,0.9064436255,1.0565162209,1.1988536155,0.0
0.0103382136,0.0001836669,0.2171024859,0.0000085634,0.0,1.0526135563,1.0225074381,1.3215953048,0.0
0.0113287157,0.000323527,0.6230793649,0.0000050713,0.0,0.9094358968,0.9141650291,1.09375,0.0
0.0054224206,0.0000548821,0.1572501972,0.0000077417,0.0,0.9646862895,1.1279996818,0.8086744805,0.0
0.0070189924,0.0001678684,0.4071015591,0.0000047632,0.0,0.7495590987,0.9802320036,0.9341854935,0.0
0.0109634035,0.0007204602,1.8418517921,0.0000065346,0.0,0.5604283301,0.7869567254,1.2051020408,0.0
0.0100069306,0.0002744639,1.5510742432,0.0000051994,0.0,0.8093043428,1.0319271815,1.0434306369,0.0
0.0049796022,0.0000984374,0.3386129511,0.0000037362,0.0,0.7028796588,0.8293380015,0.4464628989,0.0
0.0079378871,0.0003842829,2.2861114732,0.0000188595,0.0,0.8129310523,1.0290283423,0.49902826,0.0
0.030908517,0.0035585066,0.7108958908,0.000008358,0.0,0.9926672784,0.9935234473,0.9780940732,0.0
0.0117199639,0.0007594838,2.4729123871,0.000010951,0.0,0.7082529606,0.7894112125,0.6493956835,0.0
0.0278355279,0.0039636069,0.5845460852,0.0000085634,0.0,1.2726069845,0.8769818372,1.4229024943,0.0
0.0090986334,0.0001282546,0.6914961383,0.0000029145,0.0,0.9056958369,0.8704453396,1.6601276724,0.0
0.0162109767,0.0011008101,4.863293021,0.0000200919,0.0,0.8738394099,0.8333191313,1.0938864924,0.0
0.0071451062,0.0001684208,0.7002204119,0.0000006549,0.0,0.9402401311,1.0724139706,0.9801859519,0.0
0.0080005693,0.0002914026,3.1042208751,0.0000291302,0.0,0.6002327328,1.0242665165,0.7560716879,0.0
0.0047308275,0.0000322795,0.0946165509,0.0000086661,0.0,0.9858184837,1.0086787073,1.1989705882,0.0
0.0103106545,0.0004607642,4.1242618069,0.0000303627,0.0,0.6198424263,0.9478692611,0.8187234475,0.0
0.0103273372,0.0003017936,2.8709997395,0.0000178324,0.0,0.6987661433,0.9942564694,0.999344334,0.0
0.010100459,0.0004386502,0.5656257045,0.0000049686,0.0,1.3333711841,1.1314856104,1.2133290816,0.0
0.0074026391,0.0001546689,0.4663662624,0.0000042497,0.0,1.2302728261,1.1181445203,1.9430934571,0.0
0.0091419515,0.0002009631,0.2468326913,0.0000079472,0.0,0.9176970776,1.0147887044,1.453562495,0.0
0.007890555,0.0001309665,1.0731154865,0.0000032479,0.0,0.8406775226,0.9893431287,0.9631861885,0.0
0.0204782383,0.0033097588,1.2082160589,0.0000046605,0.0,0.6766385672,0.9266147772,0.9380104239,0.0
0.0084105343,0.0001894887,0.5635057984,0.0000038389,0.0,0.861043405,1.0351044615,0.6945428894,0.0
0.0094844969,0.0002152669,2.0486513386,0.0000114645,0.0,0.7802784706,0.420601642,0.5514188957,0.0
0.0036562317,0.0000414273,0.1060307189,0.0000077417,0.0,0.7110519311,1.0430377959,0.6381292113,0.0
0.0122100391,0.0006150222,1.3553143418,0.0000006803,0.0,0.7531370133,0.6467179235,1.0438034188,0.0
0.0041872097,0.0000333912,0.096305822,0.000008358,0.0,0.6333504472,0.9757273201,0.7961396876,0.0
0.0094939656,0.0009940135,0.607613799,0.000004147,0.0,1.0059684914,1.1534896232,0.3445521763,0.0
0.0099375209,0.0007162648,0.21862546,0.0000084607,0.0,0.8380722858,0.86637793,1.1578947368,0.0
0.0041331336,0.0000624754,0.1363934098,0.0000073309,0.0,0.7644936435,1.0060646457,0.6100515646,0.0
0.0082253171,0.0001468212,1.9247241989,0.0000133133,0.0,0.9535573843,1.0079967836,0.9783100998,0.0
0.0116720966,0.0008070271,1.5523888455,0.0000029398,0.0,0.9973515014,1.082863389,0.6876805743,0.0
0.0082589469,0.0002040728,0.1982147244,0.0000082553,0.0,0.9413589534,1.0188043797,0.646577381,0.0
0.0160655266,0.0016619293,0.7390142252,0.0000059957,0.0,0.7994848178,0.9265915477,0.9845194911,0.0
0.018144956,0.0010861871,0.9253927555,0.0000054822,0.0,1.0547374595,0.9309952432,1.0159554018,0.0
