@relation movie

@attribute RDMA real
@attribute WDMA real
@attribute WDA real
@attribute LengthVar real
@attribute Kurtosis real
@attribute HV real
@attribute SV real
@attribute MeanVar real
@attribute attack {1.0, 0.0}

@data
0.0145233425,0.0010021933,3.9503491609,0.0000172991,0.0,0.6074028391,0.9929773567,1.4463732925,0.0
0.0075330631,0.0004734769,0.4670499103,0.0000045228,0.0,0.6447030481,0.9968108769,0.8802055682,0.0
0.0165131755,0.0006683561,0.8917114773,0.0000053541,0.0,0.9127367471,0.8751046389,1.0337791495,0.0
0.0146372932,0.0008810712,0.351295038,0.0000084715,0.0,1.0177284993,0.4914247625,1.3111111111,0.0
0.0183888341,0.0012301,3.218045974,0.0000072195,0.0,0.7520186192,0.957760168,1.3808664019,0.0
0.006721708,0.0001442481,1.4182803846,0.0000109604,0.0,0.8024783972,1.0918463179,0.8853894461,0.0
0.0172498793,0.002596416,6.9517013563,0.0000309118,0.0,0.7854291522,0.8063069784,1.169972082,0.0
0.0071136885,0.0002596265,0.4197076211,0.0000048345,0.0,0.5295150417,0.9381744275,1.5565324544,0.0
0.0080654395,0.000219003,0.1774396698,0.0000086793,0.0,1.1468524066,0.8339660978,1.0895316804,0.0
0.0099236503,0.0040698233,1.8259516583,0.0000081547,0.0,1.1085132825,0.8706538202,0.2165642722,0.0
0.0083687174,0.0002270326,1.5147378426,0.000007843,0.0,0.8593776575,0.996598571,0.6284677137,0.0
0.0036470361,0.0000362255,0.1859988411,0.0000056658,0.0,1.2297170322,0.7682782966,0.8220222991,0.0
0.0298433581,0.0048467929,18.9803757696,0.0000551237,0.0,0.7034592716,0.9857266683,1.5633899767,0.0
0.0077183073,0.0005793924,0.7563941193,0.0000007819,0.0,1.1042726322,1.0385339823,1.2492503124,0.0
0.0147832216,0.0007803998,1.5374550434,0.0000001584,0.0,0.8335079892,0.8591333576,1.425951087,0.0
0.0070226377,0.000148593,0.9831692715,0.0000035825,0.0,0.7430986965,0.6972268555,2.0762131519,0.0
