@relation movie

@attribute RDMA real
@attribute WDMA real
@attribute WDA real
@attribute LengthVar real
@attribute Kurtosis real
@attribute HV real
@attribute SV real
@attribute MeanVar real
@attribute attack {1.0, 0.0}

@data
0.0102623241,0.0002051495,2.7913521564,0.0000057261,0.0,0.7837951403,0.9290436508,1.4463732925,0.0
0.0059433657,0.0001071254,0.3684886744,0.0000029371,0.0,0.7159945644,0.8367814553,0.8802055682,0.0
0.0114844786,0.0001762087,0.6201618448,0.0000032671,0.0,1.2582338912,1.2778823167,1.0337791495,0.0
0.0148664902,0.0003504087,0.3567957649,0.0000045047,0.0,1.9251643137,0.5075016571,1.3111111111,0.0
0.0124769303,0.000249086,2.1834628083,0.0000017245,0.0,0.9601177317,1.2849059993,1.3808664019,0.0
0.0062604505,0.0000809433,1.3209550512,0.0000032096,0.0,0.8550791558,0.9658095846,0.8853894461,0.0
0.012015072,0.0002658871,4.8420740067,0.0000111302,0.0,1.0811405441,0.6553717863,1.169972082,0.0
0.0041425939,0.0000330258,0.2444130395,0.0000030609,0.0,0.5221910541,0.7993910814,1.5565324544,0.0
0.008501844,0.0001580398,0.1870405672,0.0000045872,0.0,1.427725178,0.6000561531,1.0895316804,0.0
0.0055356233,0.0001161391,1.0185546927,0.0000020958,0.0,1.1831619783,0.3810245557,0.2165642722,0.0
0.0086519895,0.0001436976,1.5660101013,0.000001972,0.0,1.2175242616,1.0247867519,0.6284677137,0.0
0.0035576536,0.0000315723,0.1814403354,0.0000033909,0.0,1.1538749042,0.500695657,0.8220222991,0.0
0.0167464504,0.0003972739,10.6507424696,0.0000207422,0.0,1.0049147625,1.2452570998,1.5633899767,0.0
0.0060082742,0.0000861134,0.5888108718,0.000001452,0.0,1.1440808374,0.7789897666,1.2492503124,0.0
0.0114655978,0.0002163433,1.1924221737,0.0000012045,0.0,1.0813533164,1.1309059835,1.425951087,0.0
0.0052040899,0.0000637717,0.7285725791,0.0000002806,0.0,0.6683911538,0.4502117055,2.0762131519,0.0
0.0035923338,0.000020573,0.1005853475,0.0000043397,0.0,0.7127868808,0.8785728692,1.152069161,0.0
0.0075929335,0.0001375935,2.1032425727,0.0000059323,0.0,1.0312113761,0.7189266658,0.5056780581,0.0
0.0034687384,0.0000207257,0.069374769,0.0000046697,0.0,1.2936942931,0.9857478243,0.4858333333,0.0
0.0048079457,0.0000291708,0.2307813921,0.0000035146,0.0,1.1443212689,0.9364557615,1.0932370581,0.0
0.0169683754,0.0004096264,3.0373392035,0.0000018895,0.0,1.1705796755,1.8972875137,1.2098095069,0.0
0.0090235243,0.0001300804,1.1550111073,0.0000002144,0.0,0.672435809,1.0975214523,2.029679968,0.0
0.0051658784,0.0000586529,0.7800476389,0.0000007344,0.0,0.8683675266,0.9433068204,0.6993220444,0.0
0.0040030258,0.000035995,0.2722057556,0.0000026896,0.0,0.8955581114,0.4607702244,0.8877595156,0.0
0.0037225033,0.0000423419,0.29035526,0.000002277,0.0,1.2137858971,0.6650644556,0.248287417,0.0
0.0041204962,0.0000523374,0.4408930939,0.0000010807,0.0,0.7018772095,1.209734194,0.5898425012,0.0
0.0060288566,0.000075513,0.1507214152,0.0000044635,0.0,1.1693074415,1.1663964242,0.5376,0.0
0.0056698114,0.000072693,0.4479150978,0.0000022358,0.0,0.8674341508,0.8348647945,0.7110755617,0.0
0.0050653282,0.0000638018,0.1722211594,0.0000040922,0.0,0.7780302314,0.8511646012,0.6147635525,0.0
0.0053861685,0.0000558772,0.2316052437,0.0000037209,0.0,0.8097022946,0.7536683054,0.8024976646,0.0
0.008708826,0.0001255471,0.3135177358,0.0000040097,0.0,1.1481117259,0.7394545988,0.7936111111,0.0
0.0035612867,0.0000278568,0.1460127556,0.0000038034,0.0,0.8248762109,1.0612734644,0.6416137011,0.0
0.0048066158,0.0000591379,0.1153587786,0.0000045047,0.0,1.846341897,0.6814570805,0.2299969807,0.0
0.0191934802,0.0004145428,0.3838696036,0.0000046697,0.0,1.4848832536,0.7218629314,3.0025,0.0
0.009262588,0.0001280085,0.2315647002,0.0000044635,0.0,1.608550816,1.5238571504,0.75,0.0
0.0279559077,0.0007538268,0.5591181534,0.0000046697,0.0,2.2776116436,0.8568409055,1.64,0.0
0.0059628805,0.0001242081,0.3398841905,0.0000031434,0.0,0.9521476615,0.8881374107,0.7588890227,0.0
0.0185806308,0.0003794291,2.248256323,0.0000005032,0.0,1.2002573564,0.8981891948,3.6389502336,0.0
0.0075168638,0.0001256147,0.1653710038,0.0000045872,0.0,1.6319650905,0.8582280276,0.6078026252,0.0
0.0083505349,0.0001182432,0.2922687225,0.0000040509,0.0,1.4492601615,1.0921994894,0.9012244898,0.0
0.0031775726,0.0000217093,0.1652337766,0.0000033496,0.0,1.0086676258,1.0169599958,0.4798278644,0.0
0.0067244145,0.0000862491,1.230567846,0.0000020545,0.0,0.8924326698,0.8443292628,0.9520446183,0.0
0.0056570615,0.0000638362,1.2502105888,0.0000036221,0.0,0.820265226,0.8337155794,0.8580617095,0.0
0.0042994775,0.0000388226,0.6492211046,0.0000007344,0.0,0.796965762,0.9249696391,0.8235407219,0.0
0.0061693049,0.0000827824,0.2961266331,0.0000035146,0.0,0.9903747633,0.8826568459,0.5973090278,0.0
0.0103816834,0.0002468165,0.2803054516,0.000004381,0.0,1.5592811527,0.6706120573,0.8734567901,0.0
0.004989282,0.0000496268,0.1247320507,0.0000044635,0.0,0.9819741274,0.8644844055,0.588647619,0.0
0.0063494969,0.000117452,0.4190667969,0.0000027721,0.0,0.8362451518,0.8828300294,0.9173358342,0.0
0.0139603708,0.0003240311,3.001479714,0.0000033746,0.0,1.2034804383,1.1815348571,1.1319158094,0.0
0.0140412108,0.0002218946,0.3369890583,0.0000045047,0.0,1.4670285145,0.9888064086,1.6840277778,0.0
0.0040232252,0.0000216095,0.0925341788,0.000004546,0.0,0.9014678723,1.0182194925,1.1353274769,0.0
0.0047853814,0.0000753709,0.2679813589,0.0000031846,0.0,0.9714681328,0.3885759226,0.5046478819,0.0
0.0054478864,0.0001147183,0.152540819,0.0000043397,0.0,0.997499282,0.8368907106,0.6260435993,0.0
0.0058290985,0.000064635,0.3788914038,0.0000028133,0.0,0.8811382019,0.8640742237,1.1411489152,0.0
0.0038920536,0.0000221313,0.0817331255,0.0000046285,0.0,0.6548728469,1.0001963028,1.7768707483,0.0
0.0059389217,0.0000735833,1.1105783601,0.0000022195,0.0,0.9482797582,0.8617912947,0.6782131573,0.0
0.0060483336,0.0000854075,0.6411233582,0.000001122,0.0,0.8563421942,1.0,0.761627907,0.0
0.0102871367,0.0002191955,1.5842190571,0.0000008582,0.0,0.857771284,0.8460530166,1.6102279755,0.0
0.0084877424,0.0001274758,3.2423176125,0.0000102639,0.0,0.9422292397,0.6987551232,1.117946284,0.0
0.0080633032,0.0002074284,1.6771670734,0.0000030859,0.0,1.5042954595,0.5103345542,0.2613592488,0.0
0.0083850846,0.000156209,0.1760867772,0.0000046285,0.0,1.1337577859,1.1190704559,1.0207860922,0.0
0.0073200156,0.0001177124,1.6982436202,0.0000040759,0.0,0.8224925672,1.0825539576,1.001178444,0.0
0.006933321,0.0000949305,0.6447988484,0.0000016583,0.0,1.0088758465,1.1601647604,0.7548002592,0.0
0.0053531149,0.0000694197,1.070622975,0.0000027558,0.0,0.7824935663,0.9628198398,0.8076096154,0.0
0.0037750252,0.0000320315,0.3020020148,0.0000021945,0.0,1.0310684304,0.7919448559,0.660685911,0.0
0.0042244067,0.0000345491,0.160527455,0.0000039272,0.0,0.903528793,1.0101110308,0.843196508,0.0
0.0090473836,0.0001501864,0.2714215077,0.0000042572,0.0,1.5013786716,0.7407129911,0.5933333333,0.0
0.0050969168,0.0000306812,0.1732951719,0.0000040922,0.0,0.6997537071,0.9749526402,2.0008650519,0.0
0.0091247576,0.0002500482,0.5931092431,0.0000028133,0.0,1.0706338087,0.8467951036,0.9961961116,0.0
0.0044551393,0.0000792334,0.5836232514,0.0000000906,0.0,0.6840305491,1.0410123795,0.52109988,0.0
0.0039945016,0.0000266794,0.1517910597,0.0000039272,0.0,1.0469230828,0.9989984349,0.8961731815,0.0
0.0054611342,0.0000703806,0.7481753904,0.0000001569,0.0,1.047087802,0.8856791696,1.0066051163,0.0
0.0048568377,0.0000481947,0.3205512877,0.0000027721,0.0,0.718921618,0.9634013302,1.1890046712,0.0
0.0034125206,0.0000372868,0.1330883045,0.0000038859,0.0,0.8352272163,0.8666368968,0.3310603926,0.0
0.0096948034,0.0001625667,0.7658894659,0.0000022358,0.0,0.9493072395,1.1151343147,1.5079314212,0.0
0.0129110265,0.000348129,1.0587041763,0.000002112,0.0,0.9896021098,0.9645183494,0.9624345384,0.0
