@relation movie

@attribute RDMA real
@attribute WDMA real
@attribute WDA real
@attribute LengthVar real
@attribute Kurtosis real
@attribute HV real
@attribute SV real
@attribute MeanVar real
@attribute attack {1.0, 0.0}

@data
0.0095884203,0.000160643,2.6080503291,0.0000076017,0.0,0.833609036,0.9228883432,1.4463732925,0.0
0.0055745958,0.0000789088,0.3456249398,0.0000040161,0.0,0.7497758753,0.8182637486,0.8802055682,0.0
0.0112739164,0.0001657428,0.6087914868,0.0000044587,0.0,1.3135607965,1.3340752824,1.0337791495,0.0
0.0145063401,0.0003313747,0.3481521636,0.0000061184,0.0,1.9943577064,0.4985063005,1.3111111111,0.0
0.0115608788,0.0001890777,2.0231537892,0.0000022354,0.0,1.0193746816,1.3581620385,1.3808664019,0.0
0.0062349701,0.0000787968,1.315578689,0.000004227,0.0,0.8717296079,0.9471829205,0.8853894461,0.0
0.0116632953,0.000236167,4.7003080025,0.000014849,0.0,1.1523855954,0.6489128809,1.169972082,0.0
0.0041542399,0.000032203,0.2451001513,0.0000041821,0.0,0.550363449,0.7743228587,1.5565324544,0.0
0.0078898312,0.000126188,0.1735762873,0.000006229,0.0,1.4363896829,0.5737769842,1.0895316804,0.0
0.0054508703,0.0000997296,1.0029601424,0.0000027333,0.0,1.3124931284,0.3679165498,0.2165642722,0.0
0.0083887388,0.000118167,1.518361718,0.0000025673,0.0,1.3207455833,1.0275003176,0.6284677137,0.0
0.0034549653,0.0000306048,0.1762032281,0.0000046247,0.0,1.1282503714,0.4610429048,0.8220222991,0.0
0.0158627375,0.0003284828,10.0887010376,0.0000277393,0.0,1.0737128981,1.2681901252,1.5633899767,0.0
0.0060740277,0.0000915587,0.5952547146,0.0000020245,0.0,1.1402821473,0.7446562791,1.2492503124,0.0
0.0110537321,0.0001813445,1.149588136,0.0000016926,0.0,1.1271900895,1.1743729553,1.425951087,0.0
0.0049067253,0.0000520215,0.6869415489,0.0000002991,0.0,0.693504083,0.4289106682,2.0762131519,0.0
0.0036176515,0.0000198701,0.1012942421,0.0000058971,0.0,0.7500981191,0.9368508988,1.152069161,0.0
0.0074236598,0.0001116216,2.0563537517,0.0000078783,0.0,1.1307704877,0.7009650865,0.5056780581,0.0
0.0036198077,0.0000207681,0.072396154,0.0000063397,0.0,1.3770969443,0.9824954093,0.4858333333,0.0
0.004767014,0.0000279889,0.2288166725,0.0000047906,0.0,1.1680980345,0.9657009064,1.0932370581,0.0
0.0159889025,0.0003245859,2.862013543,0.0000024567,0.0,1.2393877561,1.9542785052,1.2098095069,0.0
0.0083732075,0.0001049587,1.0717705658,0.0000003648,0.0,0.6880692704,1.1078876506,2.029679968,0.0
0.0052979735,0.0000585156,0.7999939943,0.0000009076,0.0,0.9182368464,0.9252229503,0.6993220444,0.0
0.0038531815,0.0000324359,0.2620163403,0.0000036842,0.0,0.9118019527,0.4292813541,0.8877595156,0.0
0.0037574657,0.0000406362,0.2930823253,0.000003131,0.0,1.2354967739,0.6050210299,0.248287417,0.0
0.0040989285,0.0000439343,0.4385853501,0.0000015266,0.0,0.8042509368,1.4040578127,0.5898425012,0.0
0.0060196858,0.0000724987,0.1504921443,0.0000060631,0.0,1.243411732,1.2014180455,0.5376,0.0
0.0056080853,0.0000658039,0.443038741,0.0000030756,0.0,0.9249774141,0.8233217475,0.7110755617,0.0
0.0050364009,0.0000589152,0.1712376309,0.0000055652,0.0,0.8788742848,0.8481292188,0.6147635525,0.0
0.0054657059,0.0000536194,0.2350253523,0.0000050673,0.0,0.877930266,0.7475798769,0.8024976646,0.0
0.0084615585,0.0001163696,0.3046161061,0.0000054545,0.0,1.1805543435,0.7188560463,0.7936111111,0.0
0.0035528914,0.0000259897,0.1456685487,0.0000051779,0.0,0.8837742551,1.0978621539,0.6416137011,0.0
0.0047016795,0.0000564666,0.1128403078,0.0000061184,0.0,1.9741415971,0.6849800683,0.2299969807,0.0
0.0175866483,0.0003014075,0.3517329657,0.0000063397,0.0,1.6269261159,0.7230685807,3.0025,0.0
0.0090600766,0.0001097055,0.2265019139,0.0000060631,0.0,1.7689481815,1.5522277073,0.75,0.0
0.025393754,0.0005675516,0.5078750801,0.0000063397,0.0,2.3413085975,0.8570226355,1.64,0.0
0.0054275507,0.0000731454,0.3093703896,0.0000042927,0.0,1.0060857611,0.8787058597,0.7588890227,0.0
0.017474477,0.0003229575,2.1144117179,0.0000007521,0.0,1.2357937361,0.8932617017,3.6389502336,0.0
0.0068001569,0.0000908257,0.1496034518,0.000006229,0.0,1.732612859,0.8535583909,0.6078026252,0.0
0.0078845356,0.0000972043,0.2759587467,0.0000055098,0.0,1.4786747136,1.1541620037,0.9012244898,0.0
0.0031133488,0.0000209234,0.1618941395,0.0000045694,0.0,0.9764013791,0.9797877741,0.4798278644,0.0
0.0064064566,0.0000706712,1.1723815645,0.000002678,0.0,0.9325230768,0.8279626785,0.9520446183,0.0
0.005715135,0.0000595439,1.2630448267,0.0000047802,0.0,0.870534471,0.8199266026,0.8580617095,0.0
0.0042487016,0.0000344395,0.6415539352,0.0000009076,0.0,0.8285097765,0.9081277422,0.8235407219,0.0
0.0059351751,0.00007083,0.2848884058,0.0000047906,0.0,1.0510689487,0.8772622477,0.5973090278,0.0
0.0099606142,0.0002125367,0.2689365829,0.0000059524,0.0,1.6594042929,0.6661046664,0.8734567901,0.0
0.0052757044,0.000051659,0.1318926106,0.0000060631,0.0,1.0624883649,0.8552205554,0.588647619,0.0
0.0059819533,0.0000886373,0.3948089158,0.0000037948,0.0,0.8813049162,0.8558143729,0.9173358342,0.0
0.0135746306,0.0002873524,2.9185455884,0.0000044483,0.0,1.2745234257,1.2528206851,1.1319158094,0.0
0.0137194722,0.0002038595,0.3292673335,0.0000061184,0.0,1.5271066483,0.9874274787,1.6840277778,0.0
0.0039253641,0.0000204042,0.0902833753,0.0000061737,0.0,0.8711763484,1.0133493476,1.1353274769,0.0
0.0045901453,0.0000568041,0.2570481384,0.0000043481,0.0,1.0445270885,0.3747793223,0.5046478819,0.0
0.0053342968,0.0001133358,0.1493603101,0.0000058971,0.0,0.9903324219,0.8043459553,0.6260435993,0.0
0.0056828411,0.0000601612,0.3693846707,0.0000038502,0.0,0.8972464498,0.8540384846,1.1411489152,0.0
0.0037823993,0.0000204761,0.0794303854,0.0000062844,0.0,0.6449105059,1.0132711715,1.7768707483,0.0
0.0059346631,0.0000676302,1.109781992,0.0000028993,0.0,1.0248629045,0.8554436418,0.6782131573,0.0
0.0059356545,0.0000715919,0.6291793722,0.0000015819,0.0,0.9319100146,1.0,0.761627907,0.0
0.0099378305,0.0001889418,1.5304258958,0.0000010736,0.0,0.8960070108,0.8278403736,1.6102279755,0.0
0.0083634084,0.0001175893,3.1948220089,0.0000136873,0.0,0.997275042,0.682252952,1.117946284,0.0
0.0074884864,0.0001481838,1.557605168,0.000004061,0.0,1.6538504711,0.4989633213,0.2613592488,0.0
0.0081964045,0.0001539322,0.172124495,0.0000062844,0.0,1.1623216001,1.167053138,1.0207860922,0.0
0.0069581907,0.0000918443,1.6143002448,0.0000053888,0.0,0.856352049,1.1096527825,1.001178444,0.0
0.006954169,0.0000910692,0.6467377153,0.0000023011,0.0,1.088887248,1.223647049,0.7548002592,0.0
